niche,keyword,region,timeframe,score,sources,seeds,source,score_norm
ciberseguridad,ransomware protection,us,today 3-m,41.0,gtrends_top,ransomware,gtrends_top,0.11545287962810884
ciberseguridad,ardent health services ransomware attack,us,today 3-m,7100.0,gtrends_rising,ransomware,gtrends_rising,0.033842640299950204
ciberseguridad,owasp top 10 cheat sheet,us,today 3-m,3800.5,"gtrends_rising,gtrends_top",owasp top 10,gtrends_rising,-0.03385095117133877
ciberseguridad,owasp top 10 web application security risks,us,today 3-m,3200.5,"gtrends_rising,gtrends_top",owasp top 10,gtrends_rising,-0.046160742013215836
ciberseguridad,nevada ransomware,us,today 3-m,1450.0,gtrends_rising,ransomware,gtrends_rising,-0.08207455679439218
ciberseguridad,work hardening,us,today 3-m,35.0,gtrends_top,hardening,gtrends_top,-0.08951331388111622
ciberseguridad,warlock ransomware,us,today 3-m,850.0,gtrends_rising,ransomware,gtrends_rising,-0.09438434763626925
ciberseguridad,charlie siem,us,today 3-m,750.0,gtrends_rising,siem,gtrends_rising,-0.09643597944324876
ciberseguridad,siem cicero,us,today 3-m,650.0,gtrends_rising,siem,gtrends_rising,-0.09848761125022827
ciberseguridad,how to spot phishing emails,us,today 3-m,400.0,gtrends_rising,phishing,gtrends_rising,-0.10361669076767704
ciberseguridad,siem confucius,us,today 3-m,250.0,gtrends_rising,siem,gtrends_rising,-0.10669413847814632
ciberseguridad,spear phishing is a highly targeted phishing attempt.,us,today 3-m,250.0,gtrends_rising,phishing,gtrends_rising,-0.10669413847814632
ciberseguridad,the abnormal hardening of the walls of an artery or arteries,us,today 3-m,170.0,gtrends_rising,hardening,gtrends_rising,-0.10833544392372993
ciberseguridad,rapid7 siem,us,today 3-m,150.0,gtrends_rising,siem,gtrends_rising,-0.10874577028512583
ciberseguridad,top siem tools,us,today 3-m,150.0,gtrends_rising,siem,gtrends_rising,-0.10874577028512583
ciberseguridad,siem platforms,us,today 3-m,135.5,"gtrends_rising,gtrends_top",siem,gtrends_rising,-0.10904325689713786
ciberseguridad,siem platform,us,today 3-m,120.0,gtrends_rising,siem,gtrends_rising,-0.10936125982721968
ciberseguridad,managed siem solutions,us,today 3-m,110.0,gtrends_rising,siem,gtrends_rising,-0.10956642300791763
ciberseguridad,ransomware live,us,today 3-m,110.0,gtrends_rising,ransomware,gtrends_rising,-0.10956642300791763
ciberseguridad,owasp top 10 for llm applications,us,today 3-m,103.0,"gtrends_rising,gtrends_top",owasp top 10,gtrends_rising,-0.1097100372344062
ciberseguridad,managed siem services,us,today 3-m,100.0,gtrends_rising,siem,gtrends_rising,-0.10977158618861559
ciberseguridad,siem aristotle vessel,us,today 3-m,100.0,gtrends_rising,siem,gtrends_rising,-0.10977158618861559
ciberseguridad,what might be a phishing message?,us,today 3-m,100.0,gtrends_rising,phishing,gtrends_rising,-0.10977158618861559
ciberseguridad,ransomware news,us,today 3-m,94.0,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,-0.10989468409703436
